# 渠道数据表  字段: flavorName|applicationId|palCode|appName
# 新增小渠道 = 在此加一行 + 在 app/src/<flavorName>/ 放 icon 与 splash 资源
bpom3410|com.bingoplus.bpom3410|1146761517817004033|Bingo Plus PH
bpom3409|com.bingoplus.bpom3409|1146761517187858432|Bingo Plus Drop Ball
bpom3408|com.bingoplus.bpom3408|1146761516571295745|Bingo Plus Mega Bingo
bpom3407|com.bingoplus.bpom3407|1146761515996676096|Pacquiao Super Ace
bpom3406|com.bingoplus.bpom3406|1146761515430445057|Bingo Plus Vip
bpom3405|com.bingoplus.bpom3405|1146761514809688064|Bingo Plus - 30% Bonus
bpom3404|com.bingoplus.bpom3404|1146761514172153857|Bingo Plus - Jackpot Plus
bpom3403|com.bingoplus.bpom3403|1146761513538813952|Bingo Plus - 30% Bonus
bpom3402|com.bingoplus.bpom3402|1146761512943222785|Bingo Plus - Jackpot Plus
bpom3401|com.bingoplus.bpom3401|1146761512230191104|Bingo Plus - Mega Bingo
bpom3447|com.bingoplus.bpom3447|1146761540428496896|Bingo Plus Drop Ball
bpom3446|com.bingoplus.bpom3446|1146761539811934209|Bingo Plus Mega Bingo
bpom3445|com.bingoplus.bpom3445|1146761539186982912|Pacquiao Super Ace
bpom3444|com.bingoplus.bpom3444|1146761538562031617|Bingo Plus - Jackpot Plus
bpom3443|com.bingoplus.bpom3443|1146761537928691712|Bingo Plus PH
bpom3442|com.bingoplus.bpom3442|1146761537328906241|Bingo Plus PH
bpom3441|com.bingoplus.bpom3441|1146761536695566336|Bingo Plus - lucky spin
bpom3440|com.bingoplus.bpom3440|1146761536007700481|Bingo Plus PH
bpom3439|com.bingoplus.bpom3439|1146761535399526400|Bingo Plus Drop Ball
bpom3438|com.bingoplus.bpom3438|1146761534820712449|Bingo Plus Fortune Gems
bpom3411|com.bingoplus.bpom3411|1146761518404206592|Pacquiao Super Ace
bpom3412|com.bingoplus.bpom3412|1146761518970437633|Bingo Plus Mega Bingo
bpom3413|com.bingoplus.bpom3413|1146761519582806016|Bingo Plus Drop Ball
bpcm01051|com.bingoplus.bpcm01051|1958126722424852480|Bingo Plus VIP
bpcm01052|com.bingoplus.bpcm01052|1958126722894614528|Fortune Gems Pacquiao
bpcm01053|com.bingoplus.bpcm01053|1958126723414708224|Fortune Gems Pacquiao
bpocmhuawei004_hw|com.bingoplus.bpocmhuawei004.hw|2071435123090010112|Fortune Gems Pacquiao
bpocmhuawei005_hw|com.bingoplus.bpocmhuawei005.hw|2071435123115175936|Bingo Plus Mega Bingo
bpocmhuawei003_hw|com.bingoplus.bpocmhuawei003.hw|2071435123112710144|Bingo Plus Drop Ball
bpocmhuawei002_hw|com.bingoplus.bpocmhuawei002.hw|2071435123098177536|Super Ace Pacquiao
bpcm01048|com.bingoplus.bpcm01048|1958126721015566336|Bingo Plus VIP
bpocmk70104|com.bingoplus.bpocmk70104|2059882972811436032|Super Ace Pacquiao
bpocmk70105|com.bingoplus.bpocmk70105|2059882973839040512|Bingo Plus - Mega Bingo
bpocmk70106|com.bingoplus.bpocmk70106|2059882974849867776|Bingo Plus VIP
bpocmk70187_op|com.bingoplus.bpocmk70187.op|2059883072090611712|Bingo Plus Mines
bpocmk70188_vv|com.bingoplus.bpocmk70188.vv|2059883073126604800|Bingo Plus Mines
bpocmk70216_xm|com.bingoplus.bpocmk70216.xm|2059883105540190208|Bingo Plus Mines
